algorithm,budget,mean_gap,std_gap,runs,sem_gap,ci95
rf_smbo,31,0.023632315284802596,0.03463012336972096,90,0.0036503355166981172,0.00715465761272831
random_search,32,0.056014748228559993,0.07497554264506558,90,0.007903116118849751,0.015490107592945512
rf_smbo,32,0.02261536037565276,0.03374643077585614,90,0.0035571861384302845,0.006972084831323357
random_search,33,0.055976482434353436,0.07499891704997567,90,0.007905579997465315,0.015494936795032017
rf_smbo,33,0.021013226653856663,0.03143146691132868,90,0.0033131675213338764,0.006493808341814397
random_search,34,0.05433854992861004,0.07245207183970757,90,0.007637118940387393,0.01496875312315929
rf_smbo,34,0.019712653433779675,0.027641357896694918,90,0.002913654952447905,0.005710763706797894
random_search,35,0.05430849065242341,0.07246944997969254,90,0.007638950757182384,0.014972343484077472
rf_smbo,35,0.01866739887109487,0.026818225031107115,90,0.0028268891300412824,0.005540702694880913
random_search,36,0.052983364017195445,0.07247436153239188,90,0.00763946848029498,0.01497335822137816
rf_smbo,36,0.01803157853826649,0.026129920134728687,90,0.002754335423467882,0.005398497429997049
random_search,37,0.05287041281700899,0.0725480217943535,90,0.007647232953656426,0.014988576589166594
rf_smbo,37,0.01728751329747412,0.025577215121497594,90,0.00269607519960109,0.005284307391218136
random_search,38,0.052753491646712544,0.07262345877085744,90,0.007655184709174727,0.015004162029982466
rf_smbo,38,0.016761650663744597,0.02540799786335822,90,0.0026782381344301206,0.005249346743483037
random_search,39,0.05218111944341293,0.07197226966619982,90,0.0075865433505679335,0.01486962496711315
rf_smbo,39,0.01556052775171695,0.024817487085255045,90,0.002615992833040643,0.00512734595275966
random_search,40,0.052180907993606813,0.0719724213105394,90,0.007586559335284844,0.014869656297158293
rf_smbo,40,0.01506969535824825,0.023586357113253027,90,0.002486220339466453,0.0048729918653542485
random_search,41,0.05202558794698919,0.07176636815228823,90,0.007564839425313351,0.014827085273614168
rf_smbo,41,0.014938884920453815,0.023488007512603517,90,0.0024758533812991057,0.004852672627346247
random_search,42,0.05201729702491109,0.07177139593799466,90,0.007565369400460669,0.014828124024902911
rf_smbo,42,0.01459091032236682,0.023323408966713862,90,0.0024585031711470036,0.004818666215448127
random_search,43,0.05193744906766674,0.07182172461094892,90,0.007570674508398975,0.014838522036461991
rf_smbo,43,0.01453326673766245,0.023229953122647543,90,0.0024486520602169004,0.004799358038025125
random_search,44,0.05026835247954412,0.06889979249095386,90,0.007262675819479349,0.014234844606179523
