system,algorithm,repeat,run_seed,budget,sampled_index,sampled_performance,best_found,normalised_gap,optimum,worst
7z,random_search,1,20260425,25,26519,103646.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,26,14406,100460.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,27,7419,90170.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,28,47491,43296.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,29,30755,50276.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,30,51064,48716.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,31,4629,11904.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,32,59947,301592.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,33,32617,13282.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,34,40916,39085.2,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,35,48086,9134.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,36,25387,90718.2,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,37,64370,9138.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,38,6130,17831.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,39,61948,9182.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,40,41896,39054.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,41,6280,17755.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,42,25998,17641.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,43,15921,93845.0,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,44,16954,103185.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,45,37576,44250.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,46,28463,14218.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,47,55800,9192.0,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,48,68333,47460.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,49,7102,17834.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,50,61685,299494.2,4773.0,0.001371622029876907,4196.4,424574.6
7z,rf_smbo,1,20260425,1,22681,4381.8,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,2,26834,17649.4,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,3,47533,43241.0,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,4,18629,109410.8,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,5,65134,301595.2,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,6,42244,8983.8,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,7,22536,4705.4,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,8,17443,4709.6,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,9,61002,9147.8,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,10,20822,4650.4,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,11,58596,9145.2,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,12,21966,88271.8,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,13,22384,4670.8,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,14,8797,17725.0,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,15,22387,5048.8,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,16,60147,9124.8,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,17,55865,9205.8,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,18,22386,5732.6,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,19,18017,101556.0,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,20,27540,12323.0,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,21,11274,17791.0,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,22,22989,101580.6,4381.8,0.0004410314331237932,4196.4,424574.6
7z,rf_smbo,1,20260425,23,14100,4362.2,4362.2,0.0003944067508733807,4196.4,424574.6
7z,rf_smbo,1,20260425,24,17543,4352.8,4352.8,0.00037204593387573515,4196.4,424574.6
7z,rf_smbo,1,20260425,25,17554,4338.8,4338.8,0.0003387425894111554,4196.4,424574.6
7z,rf_smbo,1,20260425,26,20975,4360.2,4338.8,0.0003387425894111554,4196.4,424574.6
7z,rf_smbo,1,20260425,27,17478,11952.2,4338.8,0.0003387425894111554,4196.4,424574.6
7z,rf_smbo,1,20260425,28,20965,4393.2,4338.8,0.0003387425894111554,4196.4,424574.6
7z,rf_smbo,1,20260425,29,9380,101337.2,4338.8,0.0003387425894111554,4196.4,424574.6
7z,rf_smbo,1,20260425,30,20984,4382.6,4338.8,0.0003387425894111554,4196.4,424574.6
7z,rf_smbo,1,20260425,31,14156,4402.8,4338.8,0.0003387425894111554,4196.4,424574.6
7z,rf_smbo,1,20260425,32,15003,4383.4,4338.8,0.0003387425894111554,4196.4,424574.6
7z,rf_smbo,1,20260425,33,17587,4323.4,4323.4,0.00030210891050011637,4196.4,424574.6
7z,rf_smbo,1,20260425,34,55306,9161.0,4323.4,0.00030210891050011637,4196.4,424574.6
7z,rf_smbo,1,20260425,35,19304,4357.8,4323.4,0.00030210891050011637,4196.4,424574.6
7z,rf_smbo,1,20260425,36,23583,4354.8,4323.4,0.00030210891050011637,4196.4,424574.6
7z,rf_smbo,1,20260425,37,15902,103597.6,4323.4,0.00030210891050011637,4196.4,424574.6
7z,rf_smbo,1,20260425,38,23592,4277.8,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,39,21867,4381.2,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,40,21814,5751.0,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,41,17445,4687.0,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,42,21877,4297.8,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,43,17577,4393.2,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,44,23560,4318.0,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,45,23550,4364.6,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,46,21536,4692.2,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,47,5520,11752.2,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,48,20962,4399.8,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,49,22395,4672.2,4277.8,0.00019363515995834358,4196.4,424574.6
7z,rf_smbo,1,20260425,50,14123,4382.0,4277.8,0.00019363515995834358,4196.4,424574.6
7z,random_search,2,20260426,1,66821,301168.0,301168.0,0.7064391064998138,4196.4,424574.6
7z,random_search,2,20260426,2,36693,37977.0,37977.0,0.08035763985858449,4196.4,424574.6
7z,random_search,2,20260426,3,4016,80167.6,37977.0,0.08035763985858449,4196.4,424574.6
7z,random_search,2,20260426,4,36783,46698.8,37977.0,0.08035763985858449,4196.4,424574.6
7z,random_search,2,20260426,5,59179,300863.8,37977.0,0.08035763985858449,4196.4,424574.6
7z,random_search,2,20260426,6,64462,9183.6,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,7,6186,17697.4,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,8,60994,9195.2,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,9,61467,47598.0,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,10,62461,121809.8,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,11,63978,47545.2,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,12,47891,125130.8,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,13,38114,12221.0,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,14,30431,12193.6,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,15,50913,42729.6,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,16,62463,122098.8,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,17,27319,125228.0,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,18,62261,47484.8,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,19,25669,102804.6,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,20,38352,37597.2,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,21,40988,38603.2,9183.6,0.01186360282241087,4196.4,424574.6
7z,random_search,2,20260426,22,53466,8924.6,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,23,40255,48336.2,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,24,66496,47218.8,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,25,41118,48321.2,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,26,45898,43500.8,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,27,40536,12405.8,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,28,60613,47630.2,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,29,13545,102970.0,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,30,8350,98729.2,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,31,46621,42867.4,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,32,15788,11985.8,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,33,40038,10779.0,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,34,2112,18479.2,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,35,62972,9167.6,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,36,67921,9134.8,8924.6,0.011247490949816145,4196.4,424574.6
7z,random_search,2,20260426,37,23385,4651.2,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,38,2213,91626.8,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,39,34593,12059.8,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,40,41679,27499.8,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,41,17017,131648.2,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,42,41882,39398.8,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,43,68259,47533.6,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,44,5338,17638.6,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,45,51206,123799.0,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,46,34077,37349.8,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,47,52983,125002.2,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,48,52456,35820.4,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,49,6535,93651.8,4651.2,0.0010818829330350628,4196.4,424574.6
7z,random_search,2,20260426,50,11848,105536.0,4651.2,0.0010818829330350628,4196.4,424574.6
7z,rf_smbo,2,20260426,1,40573,12125.6,12125.6,0.018862062780610415,4196.4,424574.6
7z,rf_smbo,2,20260426,2,18271,17809.6,12125.6,0.018862062780610415,4196.4,424574.6
7z,rf_smbo,2,20260426,3,23088,99525.6,12125.6,0.018862062780610415,4196.4,424574.6
7z,rf_smbo,2,20260426,4,65323,9181.0,9181.0,0.011857417915581732,4196.4,424574.6
7z,rf_smbo,2,20260426,5,66520,47439.2,9181.0,0.011857417915581732,4196.4,424574.6
7z,rf_smbo,2,20260426,6,28855,10911.4,9181.0,0.011857417915581732,4196.4,424574.6
7z,rf_smbo,2,20260426,7,48168,8892.8,8892.8,0.011171844781675168,4196.4,424574.6
7z,rf_smbo,2,20260426,8,49893,35675.6,8892.8,0.011171844781675168,4196.4,424574.6
7z,rf_smbo,2,20260426,9,27879,12144.2,8892.8,0.011171844781675168,4196.4,424574.6
7z,rf_smbo,2,20260426,10,31004,12060.2,8892.8,0.011171844781675168,4196.4,424574.6
7z,rf_smbo,2,20260426,11,14844,4855.0,4855.0,0.0015666844760265884,4196.4,424574.6
7z,rf_smbo,2,20260426,12,14986,4593.6,4593.6,0.0009448634586665073,4196.4,424574.6
7z,rf_smbo,2,20260426,13,1654,101314.6,4593.6,0.0009448634586665073,4196.4,424574.6
7z,rf_smbo,2,20260426,14,14128,4597.8,4593.6,0.0009448634586665073,4196.4,424574.6
7z,rf_smbo,2,20260426,15,5550,11717.2,4593.6,0.0009448634586665073,4196.4,424574.6
7z,rf_smbo,2,20260426,16,686,101733.2,4593.6,0.0009448634586665073,4196.4,424574.6
7z,rf_smbo,2,20260426,17,1258,11871.2,4593.6,0.0009448634586665073,4196.4,424574.6
7z,rf_smbo,2,20260426,18,1259,11796.0,4593.6,0.0009448634586665073,4196.4,424574.6
7z,rf_smbo,2,20260426,19,20981,4604.8,4593.6,0.0009448634586665073,4196.4,424574.6
7z,rf_smbo,2,20260426,20,21839,4581.6,4581.6,0.0009163177348397247,4196.4,424574.6
7z,rf_smbo,2,20260426,21,21817,4575.2,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,22,21762,11875.2,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,23,20978,5783.4,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,24,21124,89536.0,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,25,14113,18008.6,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,26,20992,4613.6,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,27,8266,89515.6,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,28,20827,4869.2,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,29,20937,4584.6,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,30,22686,4601.6,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,31,29130,49332.2,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,32,8814,17746.6,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,33,20706,4867.8,4575.2,0.0009010933487987727,4196.4,424574.6
7z,rf_smbo,2,20260426,34,20695,4864.4,4575.2,0.0009010933487987727,4196.4,424574.6
