system,algorithm,budget,mean_best_found,std_best_found,mean_gap,std_gap,runs,optimum,worst
7z,rf_smbo,20,7635.179999999999,2705.4600166432274,0.008180205348421971,0.0064357762049583635,30,4196.4,424574.6
7z,random_search,21,7267.34,2208.6258134555223,0.007305183760718326,0.00525390187563371,30,4196.4,424574.6
7z,rf_smbo,21,7631.953333333334,2705.126563261758,0.008172529720459657,0.006434982982613652,30,4196.4,424574.6
7z,random_search,22,7255.166666666667,2198.373295202039,0.0072762257097696015,0.005229513079417627,30,4196.4,424574.6
7z,rf_smbo,22,7519.966666666666,2563.311159867029,0.007906134682213939,0.006097631037639509,30,4196.4,424574.6
7z,random_search,23,7154.453333333334,2177.8980096656837,0.007036647793185598,0.005180806258901351,30,4196.4,424574.6
7z,rf_smbo,23,7507.46,2573.181014392028,0.007876383694492247,0.006121109549429605,30,4196.4,424574.6
7z,random_search,24,6860.453333333334,2176.3211108995674,0.0063372775594294235,0.005177055115844655,30,4196.4,424574.6
7z,rf_smbo,24,7491.993333333333,2572.997907705615,0.007839591428226617,0.006120673973354506,30,4196.4,424574.6
7z,random_search,25,6833.8,2202.091478572132,0.006273874335063047,0.005238357932385963,30,4196.4,424574.6
7z,rf_smbo,25,7491.526666666667,2573.5881006249156,0.007838481316744464,0.00612207793036108,30,4196.4,424574.6
7z,random_search,26,6671.3933333333325,2196.7434138198573,0.005887539680538462,0.005225635900767112,30,4196.4,424574.6
7z,rf_smbo,26,7489.153333333334,2569.9139449879794,0.007832835606920944,0.006113337811018696,30,4196.4,424574.6
7z,random_search,27,6671.3933333333325,2196.7434138198573,0.005887539680538462,0.005225635900767112,30,4196.4,424574.6
7z,rf_smbo,27,7487.093333333333,2570.5987284507555,0.007827935257664013,0.00611496678098616,30,4196.4,424574.6
7z,random_search,28,6671.3933333333325,2196.7434138198573,0.005887539680538462,0.005225635900767112,30,4196.4,424574.6
7z,rf_smbo,28,7336.086666666667,2605.9109523428137,0.007468719040774872,0.0061989678635638425,30,4196.4,424574.6
7z,random_search,29,6671.3933333333325,2196.7434138198573,0.005887539680538462,0.005225635900767112,30,4196.4,424574.6
7z,rf_smbo,29,7331.740000000001,2610.816325847214,0.007458379145255393,0.006210636816674161,30,4196.4,424574.6
7z,random_search,30,6372.093333333333,2140.495271552878,0.005175561752092125,0.0050918322395235496,30,4196.4,424574.6
7z,rf_smbo,30,7304.246666666667,2580.43954699159,0.0073929777202211425,0.006138376221677504,30,4196.4,424574.6
7z,random_search,31,6372.093333333333,2140.495271552878,0.005175561752092125,0.0050918322395235496,30,4196.4,424574.6
7z,rf_smbo,31,7304.093333333333,2580.6089213171394,0.0073926129693055774,0.006138779131070878,30,4196.4,424574.6
7z,random_search,32,6073.613333333333,2054.073805163162,0.004465534448107284,0.004886251963501348,30,4196.4,424574.6
7z,rf_smbo,32,7304.093333333333,2580.6089213171394,0.0073926129693055774,0.006138779131070878,30,4196.4,424574.6
7z,random_search,33,6073.613333333333,2054.073805163162,0.004465534448107284,0.004886251963501348,30,4196.4,424574.6
7z,rf_smbo,33,7303.373333333334,2581.4629777456166,0.007390900225875971,0.00614081076931586,30,4196.4,424574.6
7z,random_search,34,6071.7,2051.0954218795314,0.004460982991030459,0.004879166954612611,30,4196.4,424574.6
7z,rf_smbo,34,7299.44,2577.556009706174,0.0073815435719549695,0.006131516833428029,30,4196.4,424574.6
7z,random_search,35,6070.306666666667,2049.047401032529,0.00445766851531946,0.004874295101488443,30,4196.4,424574.6
7z,rf_smbo,35,7299.433333333333,2577.563799315204,0.00738152771321951,0.0061315353634303705,30,4196.4,424574.6
7z,random_search,36,5938.5599999999995,1970.9370797003971,0.004144268185172305,0.004688485463091087,30,4196.4,424574.6
7z,rf_smbo,36,7247.7,2624.0187734557603,0.0072584639260551585,0.006242042935280091,30,4196.4,424574.6
7z,random_search,37,5796.113333333333,1900.864825815604,0.0038054145846129358,0.004521796862481462,30,4196.4,424574.6
7z,rf_smbo,37,7247.1,2624.7015802786495,0.00725703663986382,0.006243667203196194,30,4196.4,424574.6
7z,random_search,38,5648.66,1801.437893232074,0.0034546510737236144,0.00428527904927533,30,4196.4,424574.6
7z,rf_smbo,38,7245.58,2626.465729822309,0.007253420848179093,0.00624786378033473,30,4196.4,424574.6
7z,random_search,39,5609.246666666667,1812.0159462519266,0.003360894229688093,0.00431044223095281,30,4196.4,424574.6
7z,rf_smbo,39,7245.58,2626.465729822309,0.007253420848179093,0.00624786378033473,30,4196.4,424574.6
7z,random_search,40,5608.98,1812.158150478271,0.00336025988026972,0.00431078050783383,30,4196.4,424574.6
7z,rf_smbo,40,7245.5599999999995,2626.464624390059,0.007253373271972716,0.006247861150721086,30,4196.4,424574.6
7z,random_search,41,5608.98,1812.158150478271,0.00336025988026972,0.00431078050783383,30,4196.4,424574.6
7z,rf_smbo,41,7173.9,2651.856504543497,0.007082907724520445,0.006308263617246321,30,4196.4,424574.6
7z,random_search,42,5608.98,1812.158150478271,0.00336025988026972,0.00431078050783383,30,4196.4,424574.6
7z,rf_smbo,42,7173.9,2651.856504543497,0.007082907724520445,0.006308263617246321,30,4196.4,424574.6
7z,random_search,43,5608.98,1812.158150478271,0.00336025988026972,0.00431078050783383,30,4196.4,424574.6
7z,rf_smbo,43,7170.606666666666,2655.234041237632,0.007075073509203539,0.006316298136386787,30,4196.4,424574.6
7z,random_search,44,5467.453333333334,1692.0581484532754,0.0030235947852037376,0.004025085383717033,30,4196.4,424574.6
7z,rf_smbo,44,7167.72,2658.0242699392734,0.007068206676749652,0.006322935561214339,30,4196.4,424574.6
7z,random_search,45,5463.933333333333,1693.8810073693005,0.0030152213728812144,0.004029421619316371,30,4196.4,424574.6
7z,rf_smbo,45,7162.506666666667,2658.7634983115786,0.007055805145620461,0.006324694045294401,30,4196.4,424574.6
7z,random_search,46,5463.933333333333,1693.8810073693005,0.0030152213728812144,0.004029421619316371,30,4196.4,424574.6
7z,rf_smbo,46,6907.846666666666,2564.391030316519,0.006450017309809755,0.006100199844607829,30,4196.4,424574.6
7z,random_search,47,5463.933333333333,1693.8810073693005,0.0030152213728812144,0.004029421619316371,30,4196.4,424574.6
7z,rf_smbo,47,6907.58,2564.153077548891,0.006449382960391382,0.006099633800108785,30,4196.4,424574.6
7z,random_search,48,5463.933333333333,1693.8810073693005,0.0030152213728812144,0.004029421619316371,30,4196.4,424574.6
7z,rf_smbo,48,6907.3533333333335,2563.9520947073142,0.006448843763385765,0.006099155700051321,30,4196.4,424574.6
7z,random_search,49,5405.759999999999,1586.686694319655,0.002876838047263156,0.003774426681306632,30,4196.4,424574.6
7z,rf_smbo,49,6904.2266666666665,2566.666324502142,0.0064414060164553425,0.006105612337895119,30,4196.4,424574.6
7z,random_search,50,5405.759999999999,1586.686694319655,0.002876838047263156,0.003774426681306632,30,4196.4,424574.6
7z,rf_smbo,50,6898.3133333333335,2572.1882682654277,0.006427339318102922,0.006118747994699601,30,4196.4,424574.6
LLVM,random_search,1,76368.06666666667,8982.148472476349,0.4684760392999055,0.17472821423940108,30,52285.4,103691.8
LLVM,rf_smbo,1,75918.92,9054.996007859134,0.4597388651996638,0.1761453050176463,30,52285.4,103691.8
LLVM,random_search,2,71766.78,8083.024499546925,0.37896798842167506,0.15723770774741913,30,52285.4,103691.8
LLVM,rf_smbo,2,72335.92,8107.57270680553,0.39003937252949045,0.1577152398690733,30,52285.4,103691.8
LLVM,random_search,3,70724.9,7431.023310373235,0.3587004730928445,0.14455443894871517,30,52285.4,103691.8
LLVM,rf_smbo,3,69849.78666666667,6833.469148129434,0.34167704150974715,0.1329303189511312,30,52285.4,103691.8
LLVM,random_search,4,68661.84666666666,7021.560837126691,0.3185682457177835,0.13658923474755458,30,52285.4,103691.8
LLVM,rf_smbo,4,68629.66,6714.53899558059,0.3179421239378754,0.13061679081944252,30,52285.4,103691.8
LLVM,random_search,5,68088.03333333334,6510.130929364727,0.3074059520474753,0.12664047529810935,30,52285.4,103691.8
LLVM,rf_smbo,5,66633.9,5530.982184461236,0.2791189423884963,0.107593260459033,30,52285.4,103691.8
LLVM,random_search,6,66375.5,5859.096823596267,0.27409233091599483,0.11397601900923361,30,52285.4,103691.8
LLVM,rf_smbo,6,65943.15333333334,5248.422606954914,0.26568196437278885,0.102096676813683,30,52285.4,103691.8
LLVM,random_search,7,65874.24666666666,5544.303465766078,0.26434153464678845,0.10785239708997474,30,52285.4,103691.8
LLVM,rf_smbo,7,64320.473333333335,4885.697542964908,0.2341162449292954,0.09504064752569537,30,52285.4,103691.8
LLVM,random_search,8,64655.193333333336,5003.278287347574,0.2406274964466162,0.09732792584867982,30,52285.4,103691.8
LLVM,rf_smbo,8,63403.26666666667,4470.786538941622,0.21627397885606978,0.08696945397735734,30,52285.4,103691.8
LLVM,random_search,9,64161.88666666667,4993.803004602965,0.23103128533930922,0.0971436047768948,30,52285.4,103691.8
LLVM,rf_smbo,9,62137.71333333333,4190.194325403498,0.1916553840248166,0.08151114113035533,30,52285.4,103691.8
LLVM,random_search,10,64119.706666666665,4990.590828054076,0.2302107649371803,0.09708111885006684,30,52285.4,103691.8
LLVM,rf_smbo,10,61719.13333333333,3851.8832815536666,0.1835128181186259,0.07493003364471477,30,52285.4,103691.8
LLVM,random_search,11,63700.68,4581.905281340112,0.2220595100999097,0.08913102806926983,30,52285.4,103691.8
LLVM,rf_smbo,11,60811.82666666667,3363.5798338339932,0.16586313507008205,0.06543114930891859,30,52285.4,103691.8
LLVM,random_search,12,62674.76,3842.8687206125155,0.20210246195026296,0.07475467491620724,30,52285.4,103691.8
LLVM,rf_smbo,12,60542.979999999996,3448.652807771714,0.1606333063587413,0.06708605947453455,30,52285.4,103691.8
LLVM,random_search,13,62674.76,3842.8687206125155,0.20210246195026296,0.07475467491620724,30,52285.4,103691.8
LLVM,rf_smbo,13,60021.479999999996,3923.201473673571,0.15048865510909146,0.07631737436726889,30,52285.4,103691.8
LLVM,random_search,14,62541.72,3718.7525956780282,0.19951445734383264,0.0723402649412919,30,52285.4,103691.8
LLVM,rf_smbo,14,59243.7,3593.457936881678,0.1353586323881851,0.06990292914659806,30,52285.4,103691.8
LLVM,random_search,15,62434.16,3628.3101093180153,0.19742211086557312,0.0705809025591758,30,52285.4,103691.8
LLVM,rf_smbo,15,58798.5,3261.1607503020055,0.12669823212673906,0.06343880820874455,30,52285.4,103691.8
LLVM,random_search,16,62434.16,3628.3101093180153,0.19742211086557312,0.0705809025591758,30,52285.4,103691.8
LLVM,rf_smbo,16,58256.693333333336,3024.4588562348586,0.11615855872679923,0.058834286319113145,30,52285.4,103691.8
LLVM,random_search,17,62185.00666666667,3747.491183025061,0.19257537323497978,0.07289931181769316,30,52285.4,103691.8
LLVM,rf_smbo,17,57964.31333333333,2836.1727838437637,0.1104709400645315,0.055171589215423866,30,52285.4,103691.8
LLVM,random_search,18,62131.560000000005,3704.6190870876044,0.19153568427277534,0.07206532819041217,30,52285.4,103691.8
LLVM,rf_smbo,18,57656.7,2672.5647595134346,0.10448698994677703,0.051988950004540964,30,52285.4,103691.8
LLVM,random_search,19,62131.560000000005,3704.6190870876044,0.19153568427277534,0.07206532819041217,30,52285.4,103691.8
LLVM,rf_smbo,19,57473.026666666665,2546.2031891904617,0.10091402367539187,0.049530859760466825,30,52285.4,103691.8
LLVM,random_search,20,61768.88,3485.6095041539393,0.1844805316069594,0.06780497183529562,30,52285.4,103691.8
LLVM,rf_smbo,20,57201.37333333333,2588.157251382738,0.09562959735234002,0.05034698503265624,30,52285.4,103691.8
LLVM,random_search,21,61609.420000000006,3214.2194223105894,0.18137858321142888,0.06252566649892989,30,52285.4,103691.8
LLVM,rf_smbo,21,56911.66,2533.3579357758776,0.08999385290547476,0.04928098321951893,30,52285.4,103691.8
LLVM,random_search,22,61449.01333333333,3041.031017512196,0.1782582194694305,0.059156661768032685,30,52285.4,103691.8
LLVM,rf_smbo,22,56596.99333333333,2242.8455481948527,0.08387269548798071,0.043629694905592556,30,52285.4,103691.8
LLVM,random_search,23,61215.526666666665,3087.440724091978,0.17371624285432677,0.060059461936490005,30,52285.4,103691.8
LLVM,rf_smbo,23,56467.32666666667,2180.2535502556348,0.08135031176403454,0.042412103361753294,30,52285.4,103691.8
